FLUJO DE CAJA MENSUAL - AREPARTIR 2025,,,,,,,,,,,,,,,
Inversiones Las Chamas de Costa Rica S.A.,,,,,,,,,,,,,,,
Cedula Juridica: 3-101-766288,,,,,,,,,,,,,,,
Tipo de cambio USD: Col. 503.65,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
CATEGORIA,SUBCATEGORIA,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,TOTAL ANUAL,PROMEDIO MENSUAL
Gas (cilindros),30000 mensual,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,30000,360000,30000
Combustible (Servicentro),Carro del negocio,20000,20000,20000,15000,15000,20000,20000,20000,20000,18000,20000,22000,230000,19167
Subtotal Gas y Combustible,,50000,50000,50000,45000,45000,50000,50000,50000,50000,48000,50000,52000,590000,49167
,,,,,,,,,,,,,,,
NOMINA ADMINISTRATIVA,,,,,,,,,,,,,,,
Gerente General,Salario gerencial,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,18000000,1500000
Subtotal Nomina Administrativa,,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,1500000,18000000,1500000
,,,,,,,,,,,,,,,
NOMINA FIJA COCINA,,,,,,,,,,,,,,,
Cocinera Senior,Salario real 560000,560000,560000,560000,560000,560000,560000,560000,560000,560000,560000,560000,560000,6720000,560000
Cocinera,Salario real 420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,420000,5040000,420000
Cocinera,Salario real 329300,329300,329300,329300,329300,329300,329300,329300,329300,329300,329300,329300,329300,3951600,329300
Subtotal Nomina Fija Cocina,,1309300,1309300,1309300,1309300,1309300,1309300,1309300,1309300,1309300,1309300,1309300,1309300,15711600,1309300
,,,,,,,,,,,,,,,
NOMINA VARIABLE,,,,,,,,,,,,,,,
Operaria Variable (3 dias/semana),12000 x 3 x 4,144000,144000,144000,144000,144000,144000,144000,144000,144000,144000,144000,144000,1728000,144000
Operario Variable (1 dia/semana),Rotativo,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,48000,576000,48000
Eventos y Suplencias,Estimado 2 dias extra/mes,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,24000,288000,24000
Subtotal Nomina Variable,,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,216000,2592000,216000
,,,,,,,,,,,,,,,
CARGAS SOCIALES,,,,,,,,,,,,,,,
CCSS (Patronal + Obrero),DTR:CANCELACION_FACTURAS_CCSS,286857,286867,295000,298000,300000,304155,302000,304107,304000,300000,305000,304008,3589994,299166
Poliza RT INS,123000 semestral,0,0,0,0,0,123000,0,0,0,0,0,123000,246000,20500
Subtotal Cargas Sociales,,286857,286867,295000,298000,300000,427155,302000,304107,304000,300000,305000,427008,3835994,319666
,,,,,,,,,,,,,,,
PRESTAMOS BANCARIOS,,,,,,,,,,,,,,,
Prestamo 292003884,Cuota mensual (desde 2024),289659,289619,289500,289400,289489,289444,289400,289490,289308,289350,289400,289064,3473123,289427
Prestamo 294061667,Cuota mensual (desde Feb 2025),0,98628,98500,98450,98678,98666,98600,98631,98631,98550,98600,98568,1085502,90459
Prestamo 294063036,Cuota mensual (desde Dic 2025),0,0,0,0,0,0,0,0,0,0,0,92739,92739,7728
Subtotal Prestamos,,289659,388247,388000,387850,388167,388110,388000,388121,387939,387900,388000,480371,4651364,387614
,,,,,,,,,,,,,,,
IMPUESTOS Y LEGAL,,,,,,,,,,,,,,,
IVA Ministerio Hacienda,Trimestral (regimen simplificado),0,133896,0,0,33887,0,0,0,0,0,0,45000,212783,17732
Patente Municipal Santa Ana,,0,0,0,0,0,0,0,0,0,0,0,180000,180000,15000
Contabilidad Mary Cruz,,0,45000,0,0,45000,0,0,45000,0,0,45000,0,180000,15000
Subtotal Impuestos y Legal,,0,178896,0,0,78887,0,0,45000,0,0,45000,225000,572783,47732
,,,,,,,,,,,,,,,
MERCADEO,,,,,,,,,,,,,,,
Brava Publicidad ($400 USD),Pago transferencia,201460,201460,201460,201460,201460,201460,201460,201460,201460,201460,201460,201460,2417520,201460
Pautas Instagram ($150 USD),Brava paga con su tarjeta,75548,75548,75548,75548,75548,75548,75548,75548,75548,75548,75548,75548,906576,75548
Subtotal Mercadeo,,277008,277008,277008,277008,277008,277008,277008,277008,277008,277008,277008,277008,3324096,277008
,,,,,,,,,,,,,,,
MANTENIMIENTO,,,,,,,,,,,,,,,
Aire Acondicionado,Deyvin Garcia,0,0,45000,0,0,45000,0,0,45000,0,0,45000,180000,15000
Trampa de Grasa,,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,180000,15000
Fumigacion Plagas,,0,0,45000,0,0,45000,0,0,45000,0,0,45000,180000,15000
Reparaciones Esporadicas,estimado anual,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8333,8337,100000,8333
Productos de Limpieza,,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,264000,22000
Extintores,,0,0,0,0,0,12000,0,0,0,0,0,0,12000,1000
Uniformes,,0,0,0,65000,0,0,0,65000,0,0,0,0,130000,10833
Subtotal Mantenimiento,,45333,45333,135333,110333,45333,147333,45333,110333,135333,45333,45333,135337,1046000,87167
,,,,,,,,,,,,,,,
TOTAL GASTOS FIJOS,,4436447,4682360,4610601,4592451,4636428,4820069,4593601,4714329,4734785,4585001,4648601,5180484,55235157,4602930
,,,,,,,,,,,,,,,
FLUJO OPERATIVO (Ingresos - Gastos Fijos),,2202831,2593694,2233719,2877344,2040020,3642810,2536829,4417346,4726589,2348914,2898670,7984429,41503195,3458600
,,,,,,,,,,,,,,,
GASTOS VARIABLES / NO OPERATIVOS,,,,,,,,,,,,,,,
Uber Rides/Eats (entregas),Aproximado,35000,40000,38000,42000,45000,50000,48000,52000,55000,45000,48000,60000,558000,46500
Comisiones Bancarias,PIN-SINPE y otras,4500,4800,4600,4700,4800,5000,4900,5100,5200,4800,5000,5500,58900,4908
,,,,,,,,,,,,,,,
TOTAL GASTOS VARIABLES,,39500,44800,42600,46700,49800,55000,52900,57100,60200,49800,53000,65500,616900,51408
,,,,,,,,,,,,,,,
FLUJO NETO MENSUAL,,2163331,2548894,2191119,2830644,1990220,3587810,2483929,4360246,4666389,2299114,2845670,7918929,40886295,3407191
,,,,,,,,,,,,,,,
SALDO INICIAL BANCO,,4392231,4142650,7969208,7235522,7343907,7613916,8212610,7203015,7772683,6915443,5884970,4869441,,
SALDO FINAL BANCO (segun estados cuenta),,4142650,7969208,7235522,7343907,7613916,8212610,7203015,7772683,6915443,5884970,4869441,6781885,,
,,,,,,,,,,,,,,,
NOTAS IMPORTANTES:,,,,,,,,,,,,,,,
1. Los ingresos de febrero incluyen desembolso de prestamo 294061667 por Col.3.43M (ya ajustado arriba),,,,,,,,,,,,,,,
2. El prestamo 294063036 inicia en diciembre 2025,,,,,,,,,,,,,,,
3. Tipo de cambio promedio anual 2025: Col. 503.65 por USD,,,,,,,,,,,,,,,
4. Los salarios reales difieren de los reportados a CCSS (optimizacion fiscal),,,,,,,,,,,,,,,
5. Gastos en efectivo (alquiler y seguridad) se pagan con retiros ATM,,,,,,,,,,,,,,,
6. Regimen fiscal simplificado: no paga renta solo IVA trimestral,,,,,,,,,,,,,,,
7. INCLUYE salario gerencial del Gerente General (1.5M/mes) como costo real de administracion,,,,,,,,,,,,,,,
